wavelength,EGFP ex,wavelength,EGFP em,wavelength,EGFP 2p
798,,798,,798,0.2908
799,,799,,799,0.294
800,,800,,800,0.297
801,,801,,801,0.3035
802,,802,,802,0.3105
803,,803,,803,0.3124
804,,804,,804,0.3104
805,,805,,805,0.3077
806,,806,,806,0.3066
807,,807,,807,0.3063
808,,808,,808,0.3106
809,,809,,809,0.326
810,,810,,810,0.3417
811,,811,,811,0.3476
812,,812,,812,0.3505
813,,813,,813,0.3542
814,,814,,814,0.356
815,,815,,815,0.3509
816,,816,,816,0.3501
817,,817,,817,0.367
818,,818,,818,0.3907
819,,819,,819,0.4132
820,,820,,820,0.4324
821,,821,,821,0.4421
822,,822,,822,0.4429
823,,823,,823,0.4361
824,,824,,824,0.4317
825,,825,,825,0.4361
826,,826,,826,0.4446
827,,827,,827,0.4584
828,,828,,828,0.4722
829,,829,,829,0.4777
830,,830,,830,0.4822
831,,831,,831,0.4926
832,,832,,832,0.5042
833,,833,,833,0.5139
834,,834,,834,0.5223
835,,835,,835,0.5298
836,,836,,836,0.5321
837,,837,,837,0.5254
838,,838,,838,0.5185
839,,839,,839,0.5186
840,,840,,840,0.5225
841,,841,,841,0.5278
842,,842,,842,0.5355
843,,843,,843,0.5483
844,,844,,844,0.562
845,,845,,845,0.5695
846,,846,,846,0.5758
847,,847,,847,0.5837
848,,848,,848,0.5933
849,,849,,849,0.6076
850,,850,,850,0.6259
851,,851,,851,0.6464
852,,852,,852,0.663
853,,853,,853,0.6694
854,,854,,854,0.6725
855,,855,,855,0.6781
856,,856,,856,0.6884
857,,857,,857,0.7042
858,,858,,858,0.7226
859,,859,,859,0.7442
860,,860,,860,0.7651
861,,861,,861,0.7801
862,,862,,862,0.7923
863,,863,,863,0.8036
864,,864,,864,0.8112
865,,865,,865,0.8147
866,,866,,866,0.8174
867,,867,,867,0.8234
868,,868,,868,0.8281
869,,869,,869,0.8285
870,,870,,870,0.8265
871,,871,,871,0.8234
872,,872,,872,0.8205
873,,873,,873,0.822
874,,874,,874,0.8235
875,,875,,875,0.8183
876,,876,,876,0.8091
877,,877,,877,0.7989
878,,878,,878,0.7919
879,,879,,879,0.7929
880,,880,,880,0.8003
881,,881,,881,0.8121
882,,882,,882,0.8208
883,,883,,883,0.8186
884,,884,,884,0.815
885,,885,,885,0.8186
886,,886,,886,0.8266
887,,887,,887,0.8338
888,,888,,888,0.8398
889,,889,,889,0.8471
890,,890,,890,0.8538
891,,891,,891,0.8551
892,,892,,892,0.8577
893,,893,,893,0.8685
894,,894,,894,0.8781
895,,895,,895,0.8792
896,,896,,896,0.8798
897,,897,,897,0.8863
898,,898,,898,0.8932
899,,899,,899,0.8986
900,,900,,900,0.9031
901,,901,,901,0.9029
902,,902,,902,0.9002
903,,903,,903,0.901
904,,904,,904,0.9051
905,,905,,905,0.9109
906,,906,,906,0.9163
907,,907,,907,0.9201
908,,908,,908,0.9197
909,,909,,909,0.9129
910,,910,,910,0.9077
911,,911,,911,0.9081
912,,912,,912,0.9114
913,,913,,913,0.9184
914,,914,,914,0.9289
915,,915,,915,0.9414
916,,916,,916,0.9551
917,,917,,917,0.97
918,,918,,918,0.9813
919,,919,,919,0.983
920,,920,,920,0.9804
921,,921,,921,0.9786
922,,922,,922,0.9776
923,,923,,923,0.9794
924,,924,,924,0.9837
925,,925,,925,0.9914
926,,926,,926,0.9977
927,,927,,927,1
928,,928,,928,0.9997
929,,929,,929,0.9977
930,,930,,930,0.9923
931,,931,,931,0.9844
932,,932,,932,0.9721
933,,933,,933,0.9515
934,,934,,934,0.9286
935,,935,,935,0.9109
936,,936,,936,0.8982
937,,937,,937,0.892
938,,938,,938,0.8896
939,,939,,939,0.8879
940,,940,,940,0.8833
941,,941,,941,0.8713
942,,942,,942,0.8594
943,,943,,943,0.8539
944,,944,,944,0.8502
945,,945,,945,0.8439
946,,946,,946,0.8348
947,,947,,947,0.8243
948,,948,,948,0.8124
949,,949,,949,0.7993
950,,950,,950,0.7856
951,,951,,951,0.7704
952,,952,,952,0.7521
953,,953,,953,0.7313
954,,954,,954,0.7127
955,,955,,955,0.6996
956,,956,,956,0.6901
957,,957,,957,0.685
958,,958,,958,0.6791
959,,959,,959,0.6672
960,,960,,960,0.6525
961,,961,,961,0.637
962,,962,,962,0.6202
963,,963,,963,0.6006
964,,964,,964,0.5822
965,,965,,965,0.5692
966,,966,,966,0.5602
967,,967,,967,0.5556
968,,968,,968,0.5538
969,,969,,969,0.5527
970,,970,,970,0.5488
971,,971,,971,0.5397
972,,972,,972,0.527
973,,973,,973,0.5095
974,,974,,974,0.4903
975,,975,,975,0.4722
976,,976,,976,0.4565
977,,977,,977,0.446
978,,978,,978,0.4406
979,,979,,979,0.4405
980,,980,,980,0.4411
981,,981,,981,0.4384
982,,982,,982,0.432
983,,983,,983,0.4179
984,,984,,984,0.4019
985,,985,,985,0.3903
986,,986,,986,0.3821
987,,987,,987,0.3781
988,,988,,988,0.3749
989,,989,,989,0.3687
990,,990,,990,0.3585
991,,991,,991,0.3442
992,,992,,992,0.33
993,,993,,993,0.3186
994,,994,,994,0.3079
995,,995,,995,0.2973
996,,996,,996,0.2853
997,,997,,997,0.271
998,,998,,998,0.2568
999,,999,,999,0.2435
1000,,1000,,1000,0.2305
1001,,1001,,1001,0.2183
1002,,1002,,1002,0.2065
1003,,1003,,1003,0.1943
1004,,1004,,1004,0.1827
1005,,1005,,1005,0.1718
1006,,1006,,1006,0.1612
1007,,1007,,1007,0.1503
1008,,1008,,1008,0.1403
1009,,1009,,1009,0.1313
1010,,1010,,1010,0.1233
1011,,1011,,1011,0.1165
1012,,1012,,1012,0.1107
1013,,1013,,1013,0.1051
1014,,1014,,1014,0.0998
1015,,1015,,1015,0.0937
1016,,1016,,1016,0.0874
1017,,1017,,1017,0.0811
1018,,1018,,1018,0.0755
1019,,1019,,1019,0.0711
1020,,1020,,1020,0.0675
1021,,1021,,1021,0.0645
1022,,1022,,1022,0.0614
1023,,1023,,1023,0.0577
1024,,1024,,1024,0.054
1025,,1025,,1025,0.0508
1026,,1026,,1026,0.0478
1027,,1027,,1027,0.045
1028,,1028,,1028,0.0423
1029,,1029,,1029,0.0395
1030,,1030,,1030,0.0366
1031,,1031,,1031,0.0337
1032,,1032,,1032,0.031
1033,,1033,,1033,0.0286
1034,,1034,,1034,0.0265
1035,,1035,,1035,0.0246
1036,,1036,,1036,0.0228
1037,,1037,,1037,0.0213
1038,,1038,,1038,0.0198
1039,,1039,,1039,0.0184
1040,,1040,,1040,0.0171
1041,,1041,,1041,0.0157
1042,,1042,,1042,0.0144
1043,,1043,,1043,0.013
1044,,1044,,1044,0.0118
1045,,1045,,1045,0.0108
1046,,1046,,1046,0.01
1047,,1047,,1047,0.0091
1048,,1048,,1048,0.0084
1049,,1049,,1049,0.0076
1050,,1050,,1050,0.007
1051,,1051,,1051,0.0063
1052,,1052,,1052,0.0058
1053,,1053,,1053,0.0053
1054,,1054,,1054,0.0048
1055,,1055,,1055,0.0045
1056,,1056,,1056,0.0041
1057,,1057,,1057,0.0038
1058,,1058,,1058,0.0034
1059,,1059,,1059,0.0031
1060,,1060,,1060,0.0028
1061,,1061,,1061,0.0026
1062,,1062,,1062,0.0025
1063,,1063,,1063,0.0025
1064,,1064,,1064,0.0025
1065,,1065,,1065,0.0023
1066,,1066,,1066,0.0022
1067,,1067,,1067,0.0022
1068,,1068,,1068,0.0023
1069,,1069,,1069,0.0023
1070,,1070,,1070,0.0023
1071,,1071,,1071,0.0023
1072,,1072,,1072,0.0022
1073,,1073,,1073,0.0019
1074,,1074,,1074,0.0017
1075,,1075,,1075,0.0015
1076,,1076,,1076,0.0013
1077,,1077,,1077,0.0012
1078,,1078,,1078,0.0011
1079,,1079,,1079,0.0012
1080,,1080,,1080,0.0012
1081,,1081,,1081,0.0013
1082,,1082,,1082,0.0013
1083,,1083,,1083,0.0012
1084,,1084,,1084,0.0012
1085,,1085,,1085,0.0012
1086,,1086,,1086,0.0013
1087,,1087,,1087,0.0015
1088,,1088,,1088,0.0017
1089,,1089,,1089,0.0018
1090,,1090,,1090,0.002
1091,,1091,,1091,0.0026
1092,,1092,,1092,0.003
1093,,1093,,1093,0.0036
1094,,1094,,1094,0.0042
1095,,1095,,1095,0.0048
